date,total_mentions,positive_sentiment,negative_sentiment,neutral_sentiment,sentiment_ratio,day_of_week,rolling_mentions_3,rolling_sentiment_3,lagged_mentions,lagged_sentiment
2024-10-21,0.0,7,0,1,0.1875,Monday,0.0,0.09677419354838707,,
2024-10-22,0.14864864864864866,12,0,6,0.34375,Tuesday,0.14732142857142858,0.21774193548387094,0.0,7.0
2024-10-23,0.04054054054054054,8,0,3,0.21875,Wednesday,0.125,0.1935483870967742,11.0,12.0
2024-10-24,0.14864864864864866,16,0,6,0.46875,Thursday,0.22321428571428573,0.33870967741935476,3.0,8.0
2024-10-25,0.0,2,0,0,0.03125,Friday,0.125,0.17741935483870963,11.0,16.0
2024-10-28,0.14864864864864866,12,1,7,0.34375,Monday,0.1964285714285714,0.24193548387096775,0.0,2.0
2024-10-29,0.16216216216216217,11,0,10,0.3125,Tuesday,0.20535714285714285,0.16129032258064518,11.0,12.0
2024-10-30,0.013513513513513514,1,0,2,0.0,Wednesday,0.21428571428571427,0.14516129032258063,12.0,11.0
2024-10-31,0.14864864864864866,15,1,6,0.4375,Thursday,0.21428571428571427,0.1935483870967742,1.0,1.0
2024-11-01,0.0,6,0,0,0.15625,Friday,0.10714285714285714,0.11290322580645157,11.0,15.0
2024-11-02,0.0,1,0,0,0.0,Saturday,0.0982142857142857,0.11290322580645157,0.0,6.0
2024-11-04,0.14864864864864866,8,1,10,0.21875,Monday,0.0982142857142857,0.0,0.0,1.0
2024-11-05,0.24324324324324326,20,0,10,0.59375,Tuesday,0.2589285714285714,0.2258064516129032,11.0,8.0
2024-11-06,0.24324324324324326,17,1,12,0.5,Wednesday,0.4196428571428571,0.4838709677419355,18.0,20.0
2024-11-07,0.13513513513513514,6,1,10,0.15625,Thursday,0.4107142857142857,0.4516129032258065,18.0,17.0
2024-11-08,0.21621621621621623,30,1,6,0.90625,Friday,0.3928571428571428,0.6129032258064516,10.0,6.0
2024-11-09,0.0,1,0,0,0.0,Saturday,0.23214285714285712,0.3548387096774194,16.0,30.0
2024-11-11,0.32432432432432434,33,0,9,1.0,Monday,0.35714285714285715,0.7903225806451613,0.0,1.0
2024-11-12,0.14864864864864866,10,0,7,0.28125,Tuesday,0.31249999999999994,0.4677419354838709,24.0,33.0
2024-11-13,0.2972972972972973,26,0,11,0.78125,Wednesday,0.5089285714285714,0.8709677419354838,11.0,10.0
2024-11-14,0.33783783783783783,26,1,11,0.78125,Thursday,0.5178571428571428,0.7580645161290323,22.0,26.0
2024-11-18,0.2567567567567568,23,0,10,0.6875,Monday,0.5892857142857143,0.967741935483871,25.0,26.0
2024-11-19,0.32432432432432434,28,0,11,0.84375,Tuesday,0.6071428571428571,1.0,19.0,23.0
2024-11-20,0.0,1,0,0,0.0,Wednesday,0.3839285714285714,0.596774193548387,24.0,28.0
2024-11-21,0.21621621621621623,16,0,8,0.46875,Thursday,0.35714285714285715,0.4838709677419355,0.0,1.0
2024-11-22,0.16216216216216217,12,0,3,0.34375,Friday,0.25,0.2258064516129032,16.0,16.0
2024-11-25,0.08108108108108109,4,0,3,0.09375,Monday,0.30357142857142855,0.27419354838709675,12.0,12.0
2024-11-26,0.16216216216216217,14,0,10,0.40625,Tuesday,0.26785714285714285,0.24193548387096775,6.0,4.0
2024-11-27,0.21621621621621623,17,1,5,0.5,Wednesday,0.30357142857142855,0.32258064516129026,12.0,14.0
2024-11-28,0.12162162162162163,10,1,7,0.28125,Thursday,0.33035714285714285,0.4193548387096774,16.0,17.0
2024-11-29,0.2972972972972973,24,0,11,0.71875,Friday,0.4196428571428571,0.5806451612903225,9.0,10.0
2024-11-30,0.0,3,0,1,0.0625,Saturday,0.2767857142857143,0.3548387096774194,22.0,24.0
2024-12-02,0.13513513513513514,18,0,7,0.53125,Monday,0.2857142857142857,0.4838709677419355,0.0,3.0
2024-12-03,0.14864864864864866,17,0,10,0.5,Tuesday,0.1875,0.37096774193548376,10.0,18.0
2024-12-04,0.20270270270270271,21,1,6,0.625,Wednesday,0.3214285714285714,0.6612903225806452,11.0,17.0
2024-12-05,0.35135135135135137,28,1,6,0.84375,Thursday,0.46428571428571425,0.8225806451612903,15.0,21.0
2024-12-06,0.16216216216216217,16,0,9,0.46875,Friday,0.4732142857142857,0.8064516129032258,26.0,28.0
2024-12-07,1.0,36,11,53,0.07102272727272728,Saturday,1.0,0.5205278592375366,12.0,16.0
